id,start_time,end_time,duration_hr,gap_hr
41,2022-01-12T21:08:30,2022-01-13T04:22:00,7.225,10.039
42,2022-01-13T14:24:20,2022-01-14T01:12:40,10.806,6.181
43,2022-01-14T07:23:30,2022-01-14T08:09:00,0.758,1.100
44,2022-01-14T09:15:00,2022-01-14T13:28:50,4.231,7.869
45,2022-01-14T21:21:00,2022-01-14T21:22:40,0.028,1.075
46,2022-01-14T22:27:10,2022-01-14T22:55:10,0.467,18.017
47,2022-01-15T16:56:10,2022-01-16T03:03:40,10.125,3.747
48,2022-01-16T06:48:30,2022-01-16T06:51:50,0.056,6.761
49,2022-01-16T13:37:30,2022-01-16T18:59:30,5.367,1.386
50,2022-01-16T20:22:40,2022-01-16T21:07:00,0.739,21.581
51,2022-01-17T18:41:50,2022-01-18T06:22:30,11.678,0.975
52,2022-01-18T07:21:00,2022-01-18T09:33:40,2.211,0.883
53,2022-01-18T10:26:40,2022-01-19T10:51:10,24.408,8.169
54,2022-01-19T19:01:20,2022-01-19T19:13:50,0.208,25.686
55,2022-01-20T20:55:00,2022-01-20T21:41:50,0.781,6.589
56,2022-01-21T04:17:10,2022-01-21T05:05:00,0.797,0.925
57,2022-01-21T06:00:30,2022-01-21T07:19:30,1.317,3.067
58,2022-01-21T10:23:30,2022-01-21T13:17:10,2.894,1.175
59,2022-01-21T14:27:40,2022-01-21T19:17:10,4.825,2.172
60,2022-01-21T21:27:30,2022-01-22T01:03:20,3.597,1.072
61,2022-01-22T02:07:40,2022-01-22T09:47:10,7.658,8.392
62,2022-01-22T18:10:40,2022-01-23T03:14:20,9.061,0.997
63,2022-01-23T04:14:10,2022-01-23T04:27:00,0.214,9.544
64,2022-01-23T13:59:40,2022-01-23T14:57:50,0.969,0.817
65,2022-01-23T15:46:50,2022-01-24T07:59:50,16.217,1.050
66,2022-01-24T09:02:50,2022-01-24T15:10:30,6.128,3.100
67,2022-01-24T18:16:30,2022-01-24T18:54:40,0.636,2.378
68,2022-01-24T21:17:20,2022-01-24T21:34:30,0.286,35.808
69,2022-01-26T09:23:00,2022-01-26T09:49:50,0.447,1.492
70,2022-01-26T11:19:20,2022-01-26T13:31:10,2.197,1.339
71,2022-01-26T14:51:30,2022-01-26T16:25:50,1.572,5.828
72,2022-01-26T22:15:30,2022-01-26T22:18:10,0.044,0.722
73,2022-01-26T23:01:30,2022-01-27T00:25:20,1.397,2.372
74,2022-01-27T02:47:40,2022-01-27T05:11:00,2.389,1.397
75,2022-01-27T06:34:50,2022-01-27T11:55:40,5.347,5.003
76,2022-01-27T16:55:50,2022-01-27T19:28:00,2.536,14.842
77,2022-01-28T10:18:30,2022-01-28T20:13:40,9.919,1.539
78,2022-01-28T21:46:00,2022-01-28T22:27:20,0.689,1.156
79,2022-01-28T23:36:40,2022-01-29T00:15:20,0.644,1.361
80,2022-01-29T01:37:00,2022-01-29T02:10:50,0.564,4.708
81,2022-01-29T06:53:20,2022-01-29T07:15:00,0.361,1.531
82,2022-01-29T08:46:50,2022-01-29T11:11:40,2.414,5.983
83,2022-01-29T17:10:40,2022-01-31T04:30:50,35.336,18.236
84,2022-01-31T22:45:00,2022-02-01T22:24:30,23.658,23.133
85,2022-02-02T21:32:30,2022-02-02T21:52:20,0.331,16.850
86,2022-02-03T14:43:20,2022-02-03T17:25:30,2.703,5.572
87,2022-02-03T22:59:50,2022-02-04T21:32:50,22.550,0.706
88,2022-02-04T22:15:10,2022-02-04T22:17:40,0.042,6.694
89,2022-02-05T04:59:20,2022-02-05T20:38:30,15.653,3.478
90,2022-02-06T00:07:10,2022-02-06T00:43:40,0.608,3.083
91,2022-02-06T03:48:40,2022-02-06T11:52:10,8.058,0.867
92,2022-02-06T12:44:10,2022-02-06T17:08:50,4.411,12.756
93,2022-02-07T05:54:10,2022-02-07T11:19:00,5.414,3.825
94,2022-02-07T15:08:30,2022-02-07T15:09:20,0.014,0.764
95,2022-02-07T15:55:10,2022-02-07T15:57:10,0.033,10.353
96,2022-02-08T02:18:20,2022-02-08T09:00:40,6.706,9.719
97,2022-02-08T18:43:50,2022-02-08T19:14:30,0.511,12.928
98,2022-02-09T08:10:10,2022-02-09T10:44:20,2.569,1.625
99,2022-02-09T12:21:50,2022-02-10T01:05:50,12.733,8.397
100,2022-02-10T09:29:40,2022-02-10T09:31:20,0.028,4.239
101,2022-02-10T13:45:40,2022-02-10T18:14:20,4.478,0.706
102,2022-02-10T18:56:40,2022-02-10T19:03:00,0.106,1.192
103,2022-02-10T20:14:30,2022-02-10T20:27:00,0.208,1.492
104,2022-02-10T21:56:30,2022-02-10T22:15:40,0.319,3.022
105,2022-02-11T01:17:00,2022-02-11T22:17:50,21.014,16.647
106,2022-02-12T14:56:40,2022-02-12T16:02:50,1.103,3.044
107,2022-02-12T19:05:30,2022-02-13T00:41:40,5.603,1.642
108,2022-02-13T02:20:10,2022-02-13T04:48:20,2.469,0.728
109,2022-02-13T05:32:00,2022-02-13T05:35:40,0.061,2.014
110,2022-02-13T07:36:30,2022-02-13T08:14:20,0.631,9.461
111,2022-02-13T17:42:00,2022-02-14T13:42:00,20.000,4.083
112,2022-02-14T17:47:00,2022-02-14T18:13:50,0.447,1.367
113,2022-02-14T19:35:50,2022-02-14T19:53:20,0.292,0.783
114,2022-02-14T20:40:20,2022-02-14T20:49:40,0.156,0.856
115,2022-02-14T21:41:00,2022-02-14T23:05:30,1.408,6.047
116,2022-02-15T05:08:20,2022-02-15T07:20:20,2.200,2.233
117,2022-02-15T09:34:20,2022-02-15T12:43:30,3.153,4.939
118,2022-02-15T17:39:50,2022-02-15T18:22:00,0.703,2.781
119,2022-02-15T21:08:50,2022-02-16T07:06:40,9.964,3.250
120,2022-02-16T10:21:40,2022-02-16T10:57:40,0.600,2.931
121,2022-02-16T13:53:30,2022-02-16T16:13:00,2.325,1.411
122,2022-02-16T17:37:40,2022-02-16T22:10:20,4.544,0.703
123,2022-02-16T22:52:30,2022-02-16T23:42:10,0.828,20.283
124,2022-02-17T19:59:10,2022-02-17T23:16:00,3.281,0.950
125,2022-02-18T00:13:00,2022-02-18T04:59:00,4.767,1.761
126,2022-02-18T06:44:40,2022-02-19T01:30:20,18.761,14.108
127,2022-02-19T15:36:50,2022-02-19T23:52:40,8.264,2.953
128,2022-02-20T02:49:50,2022-02-20T02:52:00,0.036,5.161
129,2022-02-20T08:01:40,2022-02-21T03:40:50,19.653,1.661
130,2022-02-21T05:20:30,2022-02-21T07:07:40,1.786,0.797
131,2022-02-21T07:55:30,2022-02-21T07:55:50,0.006,1.117
132,2022-02-21T09:02:50,2022-02-21T09:32:00,0.486,2.908
133,2022-02-21T12:26:30,2022-02-22T12:25:20,23.981,0.828
134,2022-02-22T13:15:00,2022-02-22T22:10:50,8.931,47.406
135,2022-02-24T21:35:10,2022-02-24T22:00:40,0.425,20.819
136,2022-02-25T18:49:50,2022-02-25T18:53:00,0.053,2.078
137,2022-02-25T20:57:40,2022-02-25T23:52:40,2.917,39.439
138,2022-02-27T15:19:00,2022-02-27T15:26:00,0.117,23.356
139,2022-02-28T14:47:20,2022-02-28T14:58:30,0.186,0.869
140,2022-02-28T15:50:40,2022-02-28T15:56:10,0.092,0.936
141,2022-02-28T16:52:20,2022-02-28T17:15:00,0.378,5.311
142,2022-02-28T22:33:40,2022-03-01T00:13:10,1.658,0.756
143,2022-03-01T00:58:30,2022-03-01T02:13:00,1.242,5.864
144,2022-03-01T08:04:50,2022-03-01T08:48:00,0.719,0.711
145,2022-03-01T09:30:40,2022-03-01T09:52:20,0.361,0.928
146,2022-03-01T10:48:00,2022-03-01T10:49:40,0.028,5.967
147,2022-03-01T16:47:40,2022-03-01T16:48:00,0.006,2.128
148,2022-03-01T18:55:40,2022-03-01T19:04:50,0.153,2.533
149,2022-03-01T21:36:50,2022-03-01T22:19:10,0.706,6.756
150,2022-03-02T05:04:30,2022-03-02T12:25:40,7.353,0.728
151,2022-03-02T13:09:20,2022-03-03T00:30:50,11.358,17.603
152,2022-03-03T18:07:00,2022-03-03T18:29:30,0.375,17.744
153,2022-03-04T12:14:10,2022-03-04T12:43:30,0.489,0.733
154,2022-03-04T13:27:30,2022-03-04T13:57:10,0.494,8.653
155,2022-03-04T22:36:20,2022-03-04T22:37:10,0.014,0.875
156,2022-03-04T23:29:40,2022-03-04T23:30:10,0.008,17.956
157,2022-03-05T17:27:30,2022-03-05T18:49:10,1.361,11.300
158,2022-03-06T06:07:10,2022-03-06T21:37:40,15.508,19.628
159,2022-03-07T17:15:20,2022-03-07T17:15:40,0.006,24.072
160,2022-03-08T17:20:00,2022-03-09T07:37:10,14.286,12.625
161,2022-03-09T20:14:40,2022-03-09T21:17:40,1.050,0.833
162,2022-03-09T22:07:40,2022-03-09T22:11:00,0.056,1.011
163,2022-03-09T23:11:40,2022-03-09T23:41:20,0.494,0.922
164,2022-03-10T00:36:40,2022-03-10T01:13:10,0.608,23.189
165,2022-03-11T00:24:30,2022-03-11T08:40:10,8.261,6.194
166,2022-03-11T14:51:50,2022-03-11T15:14:20,0.375,1.458
167,2022-03-11T16:41:50,2022-03-11T23:58:20,7.275,3.739
168,2022-03-12T03:42:40,2022-03-12T03:56:10,0.225,9.547
169,2022-03-12T13:29:00,2022-03-12T13:30:40,0.028,1.142
170,2022-03-12T14:39:10,2022-03-12T14:43:30,0.072,0.700
171,2022-03-12T15:25:30,2022-03-12T15:28:10,0.044,4.014
172,2022-03-12T19:29:00,2022-03-12T21:43:10,2.236,0.758
173,2022-03-12T22:28:40,2022-03-13T00:51:30,2.381,13.208
174,2022-03-13T14:04:00,2022-03-13T15:48:10,1.736,0.953
175,2022-03-13T16:45:20,2022-03-13T17:34:40,0.822,3.164
176,2022-03-13T20:44:30,2022-03-13T22:18:00,1.558,1.150
177,2022-03-13T23:27:00,2022-03-14T00:02:30,0.592,50.131
178,2022-03-16T02:10:20,2022-03-16T02:45:10,0.581,2.869
179,2022-03-16T05:37:20,2022-03-16T06:04:50,0.458,16.072
180,2022-03-16T22:09:10,2022-03-16T22:14:20,0.086,24.353
181,2022-03-17T22:35:30,2022-03-17T22:36:50,0.022,5.689
182,2022-03-18T04:18:10,2022-03-18T05:58:30,1.672,0.742
183,2022-03-18T06:43:00,2022-03-18T16:55:50,10.214,44.742
184,2022-03-20T13:40:20,2022-03-20T15:58:20,2.300,32.047
185,2022-03-22T00:01:10,2022-03-22T03:58:10,3.950,35.928
186,2022-03-23T15:53:50,2022-03-23T17:03:00,1.153,28.783
187,2022-03-24T21:50:00,2022-03-24T22:29:00,0.650,10.175
188,2022-03-25T08:39:30,2022-03-25T13:09:20,4.497,4.708
189,2022-03-25T17:51:50,2022-03-25T19:51:50,2.000,2.094
190,2022-03-25T21:57:30,2022-03-26T00:05:40,2.136,24.253
191,2022-03-27T00:20:50,2022-03-27T01:14:10,0.889,12.678
192,2022-03-27T13:54:50,2022-03-27T15:39:10,1.739,2.817
193,2022-03-27T18:28:10,2022-03-27T18:29:20,0.019,1.925
194,2022-03-27T20:24:50,2022-03-27T20:25:40,0.014,1.303
195,2022-03-27T21:43:50,2022-03-27T21:45:00,0.019,46.717
196,2022-03-29T20:28:00,2022-03-30T12:10:30,15.708,1.108
197,2022-03-30T13:17:00,2022-03-30T19:20:50,6.064,1.592
198,2022-03-30T20:56:20,2022-03-30T21:16:40,0.339,16.267
199,2022-03-31T13:32:40,2022-03-31T13:36:50,0.069,6.536
200,2022-03-31T20:09:00,2022-03-31T20:52:20,0.722,2.528
201,2022-03-31T23:24:00,2022-03-31T23:25:00,0.017,16.614
202,2022-04-01T16:01:50,2022-04-01T16:49:40,0.797,3.536
203,2022-04-01T20:21:50,2022-04-01T21:49:30,1.461,5.594
204,2022-04-02T03:25:10,2022-04-02T03:26:20,0.019,1.494
205,2022-04-02T04:56:00,2022-04-02T05:07:40,0.194,13.011
206,2022-04-02T18:08:20,2022-04-02T18:25:30,0.286,40.564
207,2022-04-04T10:59:20,2022-04-04T11:26:30,0.453,3.981
208,2022-04-04T15:25:20,2022-04-04T19:19:20,3.900,1.031
209,2022-04-04T20:21:10,2022-04-04T20:49:40,0.475,12.044
210,2022-04-05T08:52:20,2022-04-07T10:13:00,49.344,0.703
211,2022-04-07T10:55:10,2022-04-07T15:30:30,4.589,0.908
212,2022-04-07T16:25:00,2022-04-07T17:10:50,0.764,24.531
213,2022-04-08T17:42:40,2022-04-08T18:07:10,0.408,3.011
214,2022-04-08T21:07:50,2022-04-08T22:22:30,1.244,14.800
215,2022-04-09T13:10:30,2022-04-09T17:06:50,3.939,1.008
216,2022-04-09T18:07:20,2022-04-09T22:56:00,4.811,8.436
217,2022-04-10T07:22:10,2022-04-10T10:41:20,3.319,6.775
218,2022-04-10T17:27:50,2022-04-10T17:34:20,0.108,1.086
219,2022-04-10T18:39:30,2022-04-10T22:16:40,3.619,21.469
220,2022-04-11T19:44:50,2022-04-11T21:51:10,2.106,15.583
221,2022-04-12T13:26:10,2022-04-12T14:38:20,1.203,0.903
222,2022-04-12T15:32:30,2022-04-12T15:48:00,0.258,0.819
223,2022-04-12T16:37:10,2022-04-13T17:53:00,25.264,13.197
224,2022-04-14T07:04:50,2022-04-14T10:28:20,3.392,1.456
225,2022-04-14T11:55:40,2022-04-15T08:27:50,20.536,1.197
226,2022-04-15T09:39:40,2022-04-15T22:55:40,13.267,0.878
227,2022-04-15T23:48:20,2022-04-16T00:09:50,0.358,16.511
228,2022-04-16T16:40:30,2022-04-16T16:49:00,0.142,2.444
229,2022-04-16T19:15:40,2022-04-16T20:09:30,0.897,0.714
230,2022-04-16T20:52:20,2022-04-17T00:11:30,3.319,12.814
231,2022-04-17T13:00:20,2022-04-17T14:27:10,1.447,0.778
232,2022-04-17T15:13:50,2022-04-18T10:05:10,18.856,1.381
233,2022-04-18T11:28:00,2022-04-18T12:56:20,1.472,32.992
234,2022-04-19T21:55:50,2022-04-19T22:45:40,0.831,13.344
235,2022-04-20T12:06:20,2022-04-20T16:50:20,4.733,4.511
236,2022-04-20T21:21:00,2022-04-20T23:07:40,1.778,31.739
237,2022-04-22T06:52:00,2022-04-25T03:16:10,68.403,0.883
238,2022-04-25T04:09:10,2022-04-25T19:58:40,15.825,8.386
239,2022-04-26T04:21:50,2022-04-26T07:19:50,2.967,1.692
240,2022-04-26T09:01:20,2022-04-26T09:56:20,0.917,0.931
241,2022-04-26T10:52:10,2022-04-26T11:40:40,0.808,1.964
242,2022-04-26T13:38:30,2022-04-26T13:38:50,0.006,70.617
243,2022-04-29T12:15:50,2022-04-29T14:32:20,2.275,1.653
244,2022-04-29T16:11:30,2022-05-01T12:34:20,44.381,0.736
245,2022-05-01T13:18:30,2022-05-01T13:37:10,0.311,0.767
246,2022-05-01T14:23:10,2022-05-01T16:30:00,2.114,1.556
247,2022-05-01T18:03:20,2022-05-01T19:30:50,1.458,1.275
248,2022-05-01T20:47:20,2022-05-01T21:03:30,0.269,11.650
249,2022-05-02T08:42:30,2022-05-02T09:29:40,0.786,1.000
250,2022-05-02T10:29:40,2022-05-02T17:48:40,7.317,40.828
251,2022-05-04T10:38:20,2022-05-04T12:35:20,1.950,7.789
252,2022-05-04T20:22:40,2022-05-04T20:26:00,0.056,18.697
253,2022-05-05T15:07:50,2022-05-05T15:08:50,0.017,1.561
254,2022-05-05T16:42:30,2022-05-05T16:43:30,0.017,4.606
255,2022-05-05T21:19:50,2022-05-05T22:06:10,0.772,0.975
256,2022-05-05T23:04:40,2022-05-05T23:05:50,0.019,0.806
257,2022-05-05T23:54:10,2022-05-06T01:11:30,1.289,0.767
258,2022-05-06T01:57:30,2022-05-06T02:07:20,0.164,7.725
259,2022-05-06T09:50:50,2022-05-06T09:52:50,0.033,1.897
260,2022-05-06T11:46:40,2022-05-06T14:07:00,2.339,6.100
261,2022-05-06T20:13:00,2022-05-06T21:31:50,1.314,2.892
262,2022-05-07T00:25:20,2022-05-07T01:14:20,0.817,1.708
263,2022-05-07T02:56:50,2022-05-07T03:16:30,0.328,6.778
264,2022-05-07T10:03:10,2022-05-07T11:30:30,1.456,8.183
265,2022-05-07T19:41:30,2022-05-07T20:05:10,0.394,3.356
266,2022-05-07T23:26:30,2022-05-08T01:02:50,1.606,0.792
267,2022-05-08T01:50:20,2022-05-08T04:56:10,3.097,6.114
268,2022-05-08T11:03:00,2022-05-08T12:43:10,1.669,1.719
269,2022-05-08T14:26:20,2022-05-08T15:58:00,1.528,13.517
270,2022-05-09T05:29:00,2022-05-09T06:43:50,1.247,2.494
271,2022-05-09T09:13:30,2022-05-09T22:38:20,13.414,-999.000
