id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T18:43:00,2021-12-13T18:43:30,0.008,29.669
1,2021-12-15T00:23:40,2021-12-16T04:47:40,28.400,0.347
2,2021-12-16T05:08:30,2021-12-16T09:13:30,4.083,0.314
3,2021-12-16T09:32:20,2021-12-16T09:57:10,0.414,0.889
4,2021-12-16T10:50:30,2021-12-16T11:31:20,0.681,2.375
5,2021-12-16T13:53:50,2021-12-16T14:06:20,0.208,1.608
6,2021-12-16T15:42:50,2021-12-16T15:50:20,0.125,0.706
7,2021-12-16T16:32:40,2021-12-16T16:40:20,0.128,0.528
8,2021-12-16T17:12:00,2021-12-16T18:14:50,1.047,0.814
9,2021-12-16T19:03:40,2021-12-16T19:51:00,0.789,0.736
10,2021-12-16T20:35:10,2021-12-16T20:59:00,0.397,0.481
11,2021-12-16T21:27:50,2021-12-16T21:28:30,0.011,0.603
12,2021-12-16T22:04:40,2021-12-16T22:05:40,0.017,0.231
13,2021-12-16T22:19:30,2021-12-16T22:29:10,0.161,1.547
14,2021-12-17T00:02:00,2021-12-17T00:02:20,0.006,0.547
15,2021-12-17T00:35:10,2021-12-17T00:35:30,0.006,2.719
16,2021-12-17T03:18:40,2021-12-17T03:19:00,0.006,0.425
17,2021-12-17T03:44:30,2021-12-17T03:48:10,0.061,0.414
18,2021-12-17T04:13:00,2021-12-17T04:21:40,0.144,5.272
19,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
20,2021-12-17T11:43:20,2021-12-17T12:05:10,0.364,0.244
21,2021-12-17T12:19:50,2021-12-17T12:20:30,0.011,0.261
22,2021-12-17T12:36:10,2021-12-17T13:08:40,0.542,0.233
23,2021-12-17T13:22:40,2021-12-18T02:23:20,13.011,0.747
24,2021-12-18T03:08:10,2021-12-18T17:03:00,13.914,1.825
25,2021-12-18T18:52:30,2021-12-18T19:13:30,0.350,0.314
26,2021-12-18T19:32:20,2021-12-18T20:38:30,1.103,10.931
27,2021-12-19T07:34:20,2021-12-19T18:53:40,11.322,6.042
28,2021-12-20T00:56:10,2021-12-20T00:57:00,0.014,0.500
29,2021-12-20T01:27:00,2021-12-20T01:38:30,0.192,0.253
30,2021-12-20T01:53:40,2021-12-20T02:08:50,0.253,0.786
31,2021-12-20T02:56:00,2021-12-20T02:58:00,0.033,0.383
32,2021-12-20T03:21:00,2021-12-20T03:58:30,0.625,3.642
33,2021-12-20T07:37:00,2021-12-20T07:51:20,0.239,0.631
34,2021-12-20T08:29:10,2021-12-20T08:52:20,0.386,0.228
35,2021-12-20T09:06:00,2021-12-20T09:11:30,0.092,4.531
36,2021-12-20T13:43:20,2021-12-20T13:54:40,0.189,4.358
37,2021-12-20T18:16:10,2021-12-20T18:41:00,0.414,1.197
38,2021-12-20T19:52:50,2021-12-20T20:35:50,0.717,0.264
39,2021-12-20T20:51:40,2021-12-20T23:02:30,2.181,0.678
40,2021-12-20T23:43:10,2021-12-21T00:08:40,0.425,0.261
41,2021-12-21T00:24:20,2021-12-21T01:06:40,0.706,1.214
42,2021-12-21T02:19:30,2021-12-21T03:09:20,0.831,0.319
43,2021-12-21T03:28:30,2021-12-21T04:09:50,0.689,0.367
44,2021-12-21T04:31:50,2021-12-21T18:32:50,14.017,0.228
45,2021-12-21T18:46:30,2021-12-21T20:13:50,1.456,0.278
46,2021-12-21T20:30:30,2021-12-21T22:26:40,1.936,0.689
47,2021-12-21T23:08:00,2021-12-21T23:23:00,0.250,0.261
48,2021-12-21T23:38:40,2021-12-21T23:48:00,0.156,0.275
49,2021-12-22T00:04:30,2021-12-22T00:15:40,0.186,0.333
50,2021-12-22T00:35:40,2021-12-22T00:57:10,0.358,0.478
51,2021-12-22T01:25:50,2021-12-22T01:44:40,0.314,0.681
52,2021-12-22T02:25:30,2021-12-22T02:50:50,0.422,1.044
53,2021-12-22T03:53:30,2021-12-22T04:24:40,0.519,1.131
54,2021-12-22T05:32:30,2021-12-22T05:40:20,0.131,0.869
55,2021-12-22T06:32:30,2021-12-22T06:44:40,0.203,0.794
56,2021-12-22T07:32:20,2021-12-22T07:51:40,0.322,0.253
57,2021-12-22T08:06:50,2021-12-22T08:46:30,0.661,0.244
58,2021-12-22T09:01:10,2021-12-22T09:51:10,0.833,0.428
59,2021-12-22T10:16:50,2021-12-22T10:40:20,0.392,0.472
60,2021-12-22T11:08:40,2021-12-22T11:20:30,0.197,1.036
61,2021-12-22T12:22:40,2021-12-22T12:51:40,0.483,0.417
62,2021-12-22T13:16:40,2021-12-22T13:51:00,0.572,0.225
63,2021-12-22T14:04:30,2021-12-22T14:31:40,0.453,0.822
64,2021-12-22T15:21:00,2021-12-22T16:43:40,1.378,0.308
